Year,ISO_Code,Countries,Economic Freedom Summary Index,Rank,Government consumption,Transfers and subsidies,Government investment,Top marginal income tax rate,Top marginal income and payroll tax rate,Top marginal tax rate,State ownership of assets,Size of Government,Judicial independence,Impartial courts,Protection of property rights,Military interference in rule of law and politics,Integrity of the legal system,Legal enforcement of contracts,Regulatory restrictions on the sale of real property,Reliability of police,Business costs of crime,Gender Legal Rights Adjustment,Legal System & Property Rights,Money growth,Standard deviation of inflation,Inflation: Most recent year, Freedom to own foreign currency bank accounts,Sound Money,Revenue from trade taxes (% of trade sector),Mean tariff rate,Standard deviation of tariff rates,Tariffs,Non-tariff trade barriers,Compliance costs of importing and exporting,Regulatory trade barriers,Black market exchange rates,Foreign ownership/investment restrictions,Capital controls,Freedom of foreigners to visit,Controls of the movement of capital and people,Freedom to Trade Internationally,Ownership of banks,Private sector credit,Interest rate controls/negative real interest rates),Credit market regulations,Hiring regulations and minimum wage,Hiring and firing regulations,Centralized collective bargaining,Hours Regulations,Mandated cost of worker dismissal,Conscription,Labor market regulations,Administrative requirements,Regulatory Burden,Starting a business,Extra payments/bribes/favoritism,Licensing restrictions,Tax compliance,Business regulations,Regulation
2017,COL,Colombia,6.68,94,6.52,8,10,7,2,4.5,7.21,7.24,3.14,2.78,4.92,4.17,3.33,2.22,9.06,3.96,3.17,0.93,3.94,9.43,9.2,9.14,5,8.19,9.13,8.86,6.37,8.12,4.91,3.63,4.27,8.76,5.54,1.54,9.62,5.57,6.68,10,9.73,10,9.91,8.9,3.87,6.34,10,4.82,1,5.82,2.66,6.67,9.5,2.94,8.75,7.14,6.28,7.34
2017,CPV,Cape Verde,7.16,63,5.65,9.36,7,8,4,6,7.91,7.18,5.33,3.77,5.22,8.7,,6.06,8.83,5.42,5.01,1,6.04,8.77,9.7,9.84,5,8.33,7.25,8,4.84,6.7,4.92,6.66,5.79,10,5.96,2.73,10,6.23,7.18,10,8.61,10,9.54,3.9,4.5,6.87,8,5.07,1,4.89,4.6,5.56,9.27,4.45,9.16,7.98,6.84,7.09
2017,CRI,Costa Rica,7.41,46,5.51,8.46,8,9,4,6.5,6.74,7.04,6.86,4.42,6.49,10,4.17,3.52,8.67,6.1,5.41,0.88,5.82,9.84,9.51,9.67,10,9.76,8.58,8.88,6.42,7.96,4.85,7.47,6.16,10,6.9,6.92,9.29,7.71,7.96,5,6.39,9,6.8,2.23,4.71,6.25,8,5.66,10,6.14,2.62,5.11,9.16,4.74,8.71,8.31,6.44,6.46
2017,CYP,Cyprus,7.68,28,6.41,5.91,8,7,7,7,7.29,6.92,6.24,4.52,6.2,8.33,8.33,4,6.44,6.31,6.89,0.93,6.13,8.02,9.51,9.89,10,9.36,9,8.98,6.7,8.23,6.44,9.31,7.88,10,6.32,6.92,7.74,7,8.27,10,10,10,10,5.57,4.8,6.13,10,10,1,6.25,4.69,8.89,9.68,4.67,5,8.63,6.93,7.72
2017,CZE,Czech Rep.,7.75,22,3.31,5.23,10,9,4,6.5,8.25,6.66,5.89,3.29,6.1,10,8.33,3.3,8.17,6.38,7.53,0.95,6.4,7.83,9.77,9.51,10,9.28,9,8.98,6.7,8.23,6.85,9.96,8.4,10,7.95,3.08,7.74,6.26,8.22,10,10,10,10,8.9,3.9,8.01,10,7.76,10,8.09,2.83,8,9.21,4.4,6.91,7.42,6.46,8.19
2017,DEU,Germany,7.82,20,3.85,3.08,10,5,5,5,8.92,6.17,7.4,6.96,7.58,10,8.33,5.83,6.81,7.2,6.64,1,7.42,8.26,9.88,9.7,10,9.46,9,8.98,6.7,8.23,6.83,9.18,8,10,6.94,3.08,7.74,5.92,8.04,5,10,10,8.33,8.9,6.17,5.84,8,6.26,10,7.53,6.34,9.33,9.57,7.1,8.86,7.56,8.13,8
2017,DNK,Denmark,7.89,13,1.55,4.53,8,3,2,2.5,6.96,4.71,8.57,6.07,8.19,10,10,5.39,9.73,7.82,6.92,1,8.08,9.84,9.74,9.77,10,9.84,9,8.98,6.7,8.23,6.58,9.96,8.27,10,7.45,6.92,7.74,7.37,8.47,10,10,10,10,10,6.89,5.71,8,10,3,7.27,4.27,6.89,9.84,7.72,9.87,8.52,7.85,8.37
2017,DOM,Dominican Republic,6.92,77,7.37,9.66,0,9,7,8,7.13,6.43,2.27,3.03,5.02,5,4.17,3.53,8.03,2.68,3.25,1,4.11,9.18,9.5,9.34,10,9.51,8.77,8.54,6.47,7.92,5.19,8.87,7.03,10,6.54,3.85,10,6.79,7.94,5,10,10,8.33,5.57,3.7,6.08,8,2.78,10,6.02,3.12,4.67,9.22,2.22,7.55,6.45,5.54,6.63
2017,DZA,Algeria,4.77,159,2.71,7.82,0,7,2,4.5,2.86,3.58,4.26,4.32,4.8,4.17,5,4.39,6.63,6.1,6.74,0.83,4.73,6.99,8.5,8.88,5,7.34,8.48,6.24,5.94,6.89,4.77,0.47,2.62,0,3.66,0,1.11,1.59,2.77,0,5.3,10,5.1,5.57,4.14,6.05,6,7.76,3,5.42,3.72,1.78,9.32,3.77,8.69,7.03,5.72,5.41
2017,ECU,Ecuador,6.28,118,6.01,9.59,6,6,4,5,5.98,6.52,1.35,2.18,3.95,2.5,4.17,4.87,8.59,4.74,4.55,0.95,4,9.26,9.15,9.92,5,8.33,6.53,7.56,4.92,6.34,3.24,5.24,4.24,10,3.42,3.08,10,5.5,6.52,8,7.71,10,8.57,4.43,2.38,6.41,6,0.65,10,4.98,2.14,3.11,8.22,2.61,8.76,2.56,4.57,6.04
